League,Season,Stage,Player,Team,GP,MIN,2PM,2PA,3PM,3PA,1PM,1PA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
NBA,2018 - 2019,Regular_Season,Jamal Murray,DEN,75,2447.4,513,1173,152,414,189,223,158,153,65,252,317,363,67,27,1367
NBA,2018 - 2019,Regular_Season,Jordan Clarkson,CLE,81,2214.4,529,1180,144,445,162,192,135,112,82,188,270,196,57,13,1364
NBA,2018 - 2019,Regular_Season,Montrezl Harrell,LAC,82,2158.2,546,888,3,17,266,414,132,255,184,351,535,162,71,110,1361
NBA,2018 - 2019,Regular_Season,Pascal Siakam,TOR,80,2547.7,519,945,79,214,237,302,154,241,124,425,549,248,73,52,1354
NBA,2018 - 2019,Regular_Season,Danilo Gallinari,LAC,68,2059.3,409,884,161,372,367,406,99,129,54,363,417,178,49,23,1346
NBA,2018 - 2019,Regular_Season,Ben Simmons,PHI,79,2700.3,540,960,0,6,257,428,274,209,172,525,697,610,112,61,1337
NBA,2018 - 2019,Regular_Season,Andrew Wiggins,MIN,73,2542.8,498,1209,118,348,207,296,138,153,83,269,352,184,70,48,1321
NBA,2018 - 2019,Regular_Season,Kyle Kuzma,LAL,70,2313.6,496,1087,128,422,188,250,133,170,60,322,382,178,41,26,1308
NBA,2018 - 2019,Regular_Season,Rudy Gobert,UTA,81,2576.7,476,712,0,0,332,522,130,231,309,732,1041,161,66,187,1284
NBA,2018 - 2019,Regular_Season,Harrison Barnes,SAC,77,2532.7,431,1027,174,441,229,278,98,122,57,305,362,115,50,13,1265
